"COL0","COL1"
"59150689",35968.00
"59150690",43584.00
"59150691",37696.00
"59150692",52736.00
"59150693",36224.00
"59150694",39168.00
"59150695",47424.00
"59150696",31872.00
"59150697",29472.00
"59150698",37504.00
"59150699",30933.00
"59150700",34048.00
"59150701",34645.00
"59150702",54144.00
"59150703",28480.00
"59150704",36576.00
"59150705",42240.00
"59150706",36096.00
"59150707",35712.00
"59150708",42203.00
"59150709",49259.00
"59150710",39680.00
"59150711",46208.00
"59150712",36224.00
"59150713",42112.00
"59150714",
"59150715",28736.00
"59150716",24832.00
"59150717",32192.00
"59150718",31531.00
"59150719",26400.00
"59150720",29024.00
"59150721",37205.00
"59150722",30336.00
"59150723",28448.00
"59150724",32576.00
"59150725",30336.00
"59150726",32192.00
"59150727",31648.00
"59150728",43584.00
"59150729",30656.00
"59150730",31936.00
"59150731",35744.00
"59150732",31296.00
"59150733",36736.00
"59150734",34944.00
"59150735",28192.00
"59150736",28992.00
"59150737",40405.00
"59150738",35456.00
"59150739",30592.00
"59150740",32448.00
"59150741",28080.00
"59150742",26261.00
"59150743",29376.00
"59150744",38016.00
"59150745",34249.00
"59150746",35413.00
"59150747",28000.00
"59150748",28864.00
"59150749",41248.00
"59150750",38528.00
"59150751",21024.00
"59150752",29376.00
"59150753",27712.00
"59150754",26624.00
"59150755",15216.00
"59150756",
"59150757",22528.00
"59150758",17517.00
"59150759",
"59150760",11872.00
"59150761",
"59150762",17273.00
"59150763",
"59150777",43424.00
"59150779",50560.00
"59150780",47264.00
"59150782",42624.00
"59150784",24640.00
"59150785",39040.00
"59150786",53248.00
"59150787",42496.00
"59150788",42944.00
"59150790",54357.00
"59150791",35200.00
"59150792",34592.00
"59150793",30944.00
"59150795",30208.00
"59150816",38912.00
"59150817",42880.00
"59150819",33856.00
"59150820",39296.00
"59150821",39723.00
"59150822",37120.00
"59150823",33696.00
"59150824",38272.00
"59150827",43712.00
"59150828",45269.00
"59150831",41600.00
"59150832",33600.00
"59150837",35755.00
"59150840",34517.00
"59150841",20864.00
"59150845",35477.00
"59150846",40064.00
"59150850",38528.00
"59150859",45056.00
"59150861",43349.00
"59150863",41600.00
"59150864",38784.00
"59150865",40755.00
"59150866",32576.00
"59150871",37888.00
"59150872",57088.00
"59150873",49344.00
"59150874",46688.00
"59150875",46976.00
"59150876",43840.00
"59150877",45696.00
"59150878",49280.00
"59150879",45312.00
"59150880",49664.00
"59150881",58144.00
"59150882",44245.00
"59150883",79872.00
"59150884",56704.00
"59150885",17202.00
"59150886",56704.00
"59150887",39168.00
"59150888",36480.00
"59150889",43136.00
"59150890",45909.00
"59150891",38528.00
"59150892",43162.00
"59150893",34176.00
"59150894",30496.00
"59150895",34432.00
"59150896",37504.00
"59150897",37280.00
"59150898",34112.00
"59150899",40832.00
"59150900",36096.00
"59150901",46208.00
"59150902",45440.00
"59150903",39168.00
"59150904",40448.00
"59150905",38720.00
"59150906",36557.00
"59150907",36864.00
"59150908",35328.00
"59150909",55680.00
"59150910",41344.00
"59150911",44416.00
"59150912",45227.00
"59150913",49600.00
"59150914",47552.00
"59150915",43051.00
"59150916",42880.00
"59150917",38656.00
"59150918",50816.00
"59150919",52608.00
"59150920",41216.00
"59150922",41024.00
"59150923",36651.00
"59150924",28800.00
"59150925",30656.00
"59150926",42317.00
"59150927",35008.00
"59150928",35712.00
"59150929",39424.00
"59150930",55616.00
"59150931",53803.00
"59150932",68736.00
"59150933",68352.00
"59150934",66304.00
"59150935",45056.00
"59150936",41600.00
"59150937",15904.00
"59150938",15488.00
"59150939",11525.00
"59150940",
"59150941",
"59150942",23392.00
"59150945",48256.00
"59150946",
"59150947",18304.00
"59150948",33664.00
"59150952",20992.00
"59150953",57216.00
"59150954",56960.00
"59150955",48128.00
"59150956",36928.00
"59150957",31296.00
"59150958",42304.00
"59150959",34688.00
"59150960",40576.00
"59150961",44288.00
"59150962",47872.00
"59150963",47232.00
"59150964",24608.00
"59150965",28864.00
"59150966",25024.00
"59150967",29376.00
"59150968",27221.00
"59150969",43443.00
"59150970",40832.00
"59150971",48128.00
"59150972",28448.00
"59150973",44160.00
"59150974",43136.00
"59150975",33728.00
"59150976",38912.00
"59150977",42923.00
"59150978",43648.00
"59150979",37312.00
"59150980",35232.00
"59150981",42560.00
"59150982",45056.00
"59150983",44843.00
"59150984",42336.00
"59150985",34752.00
"59150986",27200.00
"59150987",34261.00
"59150992",19691.00
"59150993",21536.00
"59150994",20480.00
"59150995",23437.00
"59150996",22240.00
"59150997",20288.00
"59150998",24139.00
"59151002",21717.00
"59151008",19552.00
"59151013",20245.00
"59151014",22720.00
"59151015",21280.00
"59151016",22336.00
"59151017",19264.00
"59151018",20224.00
"59151019",22187.00
"59151020",27872.00
"59151022",25728.00
"59151023",17173.00
"59151024",29248.00
"59151025",24576.00
"59151026",28288.00
"59151027",25344.00
"59151028",28992.00
"59151029",30720.00
"59151030",27392.00
"59151031",25856.00
"59151032",28416.00
"59151033",28320.00
"59151034",32640.00
"59151035",
"59151036",35968.00
"59151037",35968.00
"59151038",21888.00
"59151039",26624.00
"59151040",27200.00
"59151041",33493.00
"59151042",28693.00
"59151043",20629.00
"59151044",21312.00
"59151045",22827.00
"59151046",18128.00
"59151048",19541.00
"59151049",24448.00
"59151050",23744.00
"59151051",24768.00
"59151053",23125.00
"59151057",33621.00
"59151058",19187.00
